"County","PriceAverage","Ns"
"Blount, Tennessee",342.293636830883,10
"Blue Earth, Minnesota",312.736285783745,11
"Blue, Minnesota",312.736285783745,11
"Bluff, Nebraska",250,1
"Bolivar, Mississippi",350,2
"Bon Homme, South Dakota",424.488946438847,1
"Bonner, Idaho",200,2
"Bonneville, Idaho",256.678232980462,8
"Bon, South Dakota",424.488946438847,1
"Boone, Illinois",209.053429396375,2
"Boone, Indiana",249.717083676517,3
"Boone, Kentucky",246.421595227906,20
"Boone, Missouri",292.00026414576,55
"Boone, West Virginia",593.176877896459,1
"Bossier, Louisiana",267.597185679657,37
"Boulder, Colorado",279.676824636158,4
"Boundary, Idaho",275,2
"Bowie, Texas",295.210510410846,5
"Bow, Montana",304.047173965643,23
"Box Butte, Nebraska",91.5058014491759,2
"Box Elder, Utah",400,1
"Box, Nebraska",91.5058014491759,2
"Box, Utah",400,1
"Boyd, Kentucky",236.856082016658,11
"Boyle, Kentucky",260.361313080463,4
"Bradford, Pennsylvania",295.762179036485,2
"Bradley, Tennessee",246.576038955303,7
"Branch, Michigan",128.541229227114,2
"Brazoria, Texas",253.859660677416,12
"Brazos, Texas",237.016872007002,37
"Bremer, Iowa",300,1
"Brevard, Florida",257.069202645138,14
"Brewster, Texas",380,1
"Bristol, Massachusetts",288.447873206685,77
"Bristol, Rhode Island",322.06022654739,16
"Bronx, New York",320.798557217465,619
"Brooke, West Virginia",208.123641421526,4
"Brookings, South Dakota",305.165889223954,6
"Brooks, Georgia",100,1
"Broome, New York",305.562000998046,26
"Broward, Florida",271.066799852384,229
"Brown, Kansas",149.726885049749,2
"Brown, Minnesota",356.960426962401,4
"Brown, Nebraska",205,2
"Brown, Ohio",228.34049108093,4
"Brown, South Dakota",226.05821024693,7
"Brown, Texas",311.740584823961,2
"Brown, Wisconsin",331.400750765083,4
"Brunswick, North Carolina",268.30016151234,3
"Brunswick, Virginia",400,1
"Bryan, Georgia",265.190705098284,3
"Bryan, Oklahoma",270.377670022067,6
"Buchanan, Missouri",245.613957706057,15
"Buchanan, Virginia",390,2
"Bucks, Pennsylvania",285.167711558656,54
"Buena, Iowa",315.531068945732,4
"Buena Vista, Iowa",315.531068945732,4
"Buffalo, Nebraska",314.678269565018,3
"Buffalo, Wisconsin",202.259159171045,1
"Bullitt, Kentucky",214.457587274415,3
"Bulloch, Georgia",297.604308272891,17
