"Month","State","PriceIndex","Adjusted"
"2010-09","National",179.727770774891,180.695328811251
"2010-10","National",184.281004153751,181.712539615065
"2010-11","National",175.790888091344,181.762192382518
"2010-12","National",191.206731758393,182.445193615938
"2011-01","National",176.350461210066,179.391145526478
"2011-02","National",174.230169104332,176.991188467746
"2011-03","National",178.184994604763,176.595778476939
"2011-04","National",177.190058278022,176.794352227836
"2011-05","National",175.945453845906,177.765562522046
"2011-06","National",181.205594610611,180.083768211357
"2011-07","National",183.208192942082,182.503219471421
"2011-08","National",182.523853772731,184.899992877144
"2011-09","National",187.531412066705,187.855138474091
"2011-10","National",194.614374196328,189.573567203417
"2011-11","National",187.589638524837,187.936463598886
"2011-12","National",183.503718130347,185.865819187179
"2012-01","National",186.982650993132,185.936800420923
"2012-02","National",183.031416364165,188.362472695916
"2012-03","National",196.575129612851,194.401751980166
"2012-04","National",201.949475965386,199.982497909927
"2012-05","National",203.981278274277,203.205947754142
"2012-06","National",204.877456504705,204.140316837211
"2012-07","National",201.631017828089,203.629151003669
"2012-08","National",203.325763377489,203.253135765546
"2012-09","National",203.285465054151,202.594823459292
"2012-10","National",202.205239290623,201.309394033301
"2012-11","National",198.750202158633,199.742669030825
"2012-12","National",198.816877163146,199.136315252439
"2013-01","National",197.260496154702,199.739532626524
"2013-02","National",204.653115555583,201.482082992169
"2013-03","National",201.870228454141,201.814691716638
"2013-04","National",200.792711104743,201.359116730614
"2013-05","National",200.681763659966,200.792652702277
"2010-09","Colorado",140.574168421053,137.254860413825
"2010-10","Colorado",123.799835849057,145.639771195104
"2010-11","Colorado",179.3599,157.34398998361
"2010-12","Colorado",162.697435135135,153.846889440523
"2011-01","Colorado",138.359509090909,138.643752243412
"2011-02","Colorado",108.252152777778,124.080406764462
"2011-03","Colorado",119.225702380952,122.21843822335
"2011-04","Colorado",117.392048,129.291177853073
"2011-05","Colorado",181.886603571429,138.539221044228
"2011-06","Colorado",99.1996571428571,131.304033334341
"2011-07","Colorado",141.187537037037,132.274462788136
"2011-08","Colorado",141.098253061224,134.034981278855
"2011-09","Colorado",110.847366666667,138.083134928642
"2011-10","Colorado",186.804674074074,152.979741642007
"2011-11","Colorado",123.360395833333,160.04985106149
"2011-12","Colorado",199.668325806452,174.443445261693
"2012-01","Colorado",184.9895,174.621051089065
"2012-02","Colorado",157.883379166667,164.26807593481
"2012-03","Colorado",136.45173125,157.43837610107
"2012-04","Colorado",175.029111428571,161.801111121844
"2012-05","Colorado",169.080835714286,164.038795680058
"2012-06","Colorado",160.528618666667,164.061944765368
"2012-07","Colorado",159.886015238095,166.823113401656
"2012-08","Colorado",180.629765555556,173.741530514103
"2012-09","Colorado",177.956733783784,179.299326864329
"2012-10","Colorado",177.899562886598,184.866868255406
"2012-11","Colorado",203.75538,190.471927409862
"2012-12","Colorado",180.494156129032,189.174971681417
